Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
AFG2A;Q8NB90;2,313634;1,00E+00;2,091671;1,00E+00;Vicino all'ER;0,221963;Homo sapiens;;Cytoplasm;ATPase family gene 2 protein homolog A
AFG2B;Q9BVQ7;2,123286;1,00E+00;1,900476;1,00E+00;Vicino all'ER;0,22281;Homo sapiens;;Translation;ATPase family gene 2 protein homolog B
AFG3L2;Q9Y4W6;1,123714;6,82E-02;0,9395561;4,40E-02;Vicino all'ER;0,1841579;Homo sapiens;;Mitochondria;AFG3-like protein 2
AFP;"J3KMX3;P02771";1,817077;1,00E+00;1,580726;9,24E-01;Vicino all'ER;0,236351;Homo sapiens;;Cytoplasm;Alpha-fetoprotein
AFTPH;"A0A8Q3SIA4;A0A8Q3WKU6;A0A8Q3WM48;B8ZZI9;Q6ULP2";2,257933;1,00E+00;2,03791;1,00E+00;Vicino all'ER;0,220023;Homo sapiens;Cytoplasm;Cytoplasm;"Aftiphilin;Aftiphilin;Aftiphilin;Aftiphilin (Fragment);Aftiphilin"
AGA;P20933;0,5163845;4,02E-04;0,6293959;3,02E-03;Vicino al REPLICOMA;0,1130114;Homo sapiens;Lysosome;Lysosome;N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
AGAP1;"A0A0U1RRF1;E7EUN2;H7C0A7;H7C211;Q9UPQ3;X5D293";1,593821;6,30E-01;1,412768;5,95E-01;Vicino all'ER;0,181053;Homo sapiens;;Cytoplasm;"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1;ArfGAP with GTPase domain, ankyrin repeat and PH domain 1;ArfGAP with GTPase domain, ankyrin repeat and PH domain 1;ArfGAP with GTPase domain, ankyrin repeat and PH domain 1;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1;ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (Fragment)"
AGAP3;Q96P47;1,047587;4,31E-02;0,9070221;3,38E-02;Vicino all'ER;0,1405649;Homo sapiens;;Golgi apparatus;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3
AGAP6;Q5VW22;1,575381;5,92E-01;1,295179;3,68E-01;Vicino all'ER;0,280202;Homo sapiens;;Golgi apparatus;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6
AGFG1;P52594;1,296565;1,78E-01;1,170693;1,96E-01;Vicino all'ER;0,125872;Homo sapiens;;Golgi apparatus;Arf-GAP domain and FG repeat-containing protein 1
AGFG2;"A0A0C4DG34;O95081";2,114069;1,00E+00;1,867089;1,00E+00;Vicino all'ER;0,24698;Homo sapiens;Cytoplasm;Cytoplasm;"ArfGAP with FG repeats 2;Arf-GAP domain and FG repeat-containing protein 2"
AGK;Q53H12;0,7511557;5,46E-03;0,5683085;1,53E-03;Vicino all'ER;0,1828472;Homo sapiens;Mitochondria;Mitochondria;Acylglycerol kinase, mitochondrial
AGL;P35573;1,959334;1,00E+00;1,711621;1,00E+00;Vicino all'ER;0,247713;Homo sapiens;protein-complex;Cytoplasm;Glycogen debranching enzyme
ago-01;"A0A6I8PTZ8;Q9UL18";1,406384;3,05E-01;1,29239;3,64E-01;Vicino all'ER;0,113994;Homo sapiens;;endosome-vesicle;"Argonaute RISC component 1;Protein argonaute-1"
ago-02;Q9UKV8;1,475393;4,09E-01;1,324939;4,21E-01;Vicino all'ER;0,150454;Homo sapiens;;endosome-vesicle;Protein argonaute-2
ago-03;Q9H9G7;1,241762;1,33E-01;1,205023;2,36E-01;Vicino all'ER;0,036739;Homo sapiens;;Nucleus;Protein argonaute-3
AGPAT1;Q99943;0,5487877;7,20E-04;0,4157378;2,27E-04;Vicino all'ER;0,1330499;Homo sapiens;;ER;1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
AGPAT3;Q9NRZ7;0,970613;2,65E-02;0,696821;6,14E-03;Vicino all'ER;0,273792;Homo sapiens;ER;ER;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma
AGPAT5;Q9NUQ2;0,840691;1,04E-02;0,7398427;8,88E-03;Vicino all'ER;0,1008483;Homo sapiens;Mitochondria;Mitochondria;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
AGPS;O00116;0,3572792;0,00E+00;0,5606232;1,46E-03;Vicino al REPLICOMA;0,203344;Homo sapiens;Peroxisome;Peroxisome;Alkyldihydroxyacetonephosphate synthase, peroxisomal
AGRN;O00468;2,020682;1,00E+00;1,776428;1,00E+00;Vicino all'ER;0,244254;Homo sapiens;;Cytoplasm;Agrin
AHCTF1;Q8WYP5;1,828479;1,00E+00;1,609781;9,80E-01;Vicino all'ER;0,218698;Homo sapiens;;Mitochondria;Protein ELYS
AHCY;P23526;2,148875;1,00E+00;1,908975;1,00E+00;Vicino all'ER;0,2399;Homo sapiens;Cytoplasm;Cytoplasm;Adenosylhomocysteinase
AHCYL1;O43865;2,072829;1,00E+00;1,828461;1,00E+00;Vicino all'ER;0,244368;Homo sapiens;Cytoplasm;Cytoplasm;S-adenosylhomocysteine hydrolase-like protein 1
AHCYL2;Q96HN2;1,992456;1,00E+00;1,771296;1,00E+00;Vicino all'ER;0,22116;Homo sapiens;Cytoplasm;Cytoplasm;Adenosylhomocysteinase 3
AHNAK;Q09666;1,064465;4,81E-02;1,000896;6,90E-02;Vicino all'ER;0,063569;Homo sapiens;Golgi apparatus;endosome-vesicle;Neuroblast differentiation-associated protein AHNAK
AHNAK2;Q8IVF2;1,125899;6,88E-02;1,019633;7,94E-02;Vicino all'ER;0,106266;Homo sapiens;;endosome-vesicle;Protein AHNAK2
AHSA1;O95433;2,143254;1,00E+00;1,906748;1,00E+00;Vicino all'ER;0,236506;Homo sapiens;Cytoplasm;Cytoplasm;Activator of 90 kDa heat shock protein ATPase homolog 1
AHSG;P02765;1,692133;8,11E-01;1,522041;8,13E-01;Vicino all'ER;0,170092;Homo sapiens;;Cytoplasm;Alpha-2-HS-glycoprotein
AIDA;Q96BJ3;1,680475;7,91E-01;1,473294;7,16E-01;Vicino all'ER;0,207181;Homo sapiens;Cytoplasm;PM;Axin interactor, dorsalization-associated protein
AIFM1;"A0A6Q8PFE1;O95831";0,77201;6,49E-03;0,6176374;2,63E-03;Vicino all'ER;0,1543726;Homo sapiens;Mitochondria;Mitochondria;"Apoptosis inducing factor mitochondria associated 1;Apoptosis-inducing factor 1, mitochondrial"
AIFM2;Q9BRQ8;1,595734;6,33E-01;1,39289;5,53E-01;Vicino all'ER;0,202844;Homo sapiens;;ER;Ferroptosis suppressor protein 1
AIMP1;Q12904;2,21021;1,00E+00;2,005158;1,00E+00;Vicino all'ER;0,205052;Homo sapiens;;protein-complex;Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
AIMP2;Q13155;2,26663;1,00E+00;2,064345;1,00E+00;Vicino all'ER;0,202285;Homo sapiens;;protein-complex;Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
AIP;"A0A804HKH9;O00170";2,082439;1,00E+00;1,839036;1,00E+00;Vicino all'ER;0,243403;Homo sapiens;Cytoplasm;Cytoplasm;"peptidylprolyl isomerase (Fragment);AH receptor-interacting protein"
"AIRIM;AIRIM;C1orf109;AIRIM;AIRIM;AIRIM";"Q9NX04;V9GY35;V9GYI2;V9GYN4;V9GYQ8;V9GYT8";2,15906;1,00E+00;1,960752;1,00E+00;Vicino all'ER;0,198308;Homo sapiens;Cytoplasm;Translation;"AFG2-interacting ribosome maturation factor;Chromosome 1 open reading frame 109 (Fragment);Uncharacterized protein C1orf109 (Fragment);Chromosome 1 open reading frame 109 (Fragment);Chromosome 1 open reading frame 109 (Fragment);Chromosome 1 open reading frame 109 (Fragment)"
AK1;"P00568;Q5T9B7";2,087532;1,00E+00;1,850394;1,00E+00;Vicino all'ER;0,237138;Homo sapiens;Cytoplasm;Cytoplasm;Adenylate kinase isoenzyme 1
AK2;"F8W1A4;P54819";1,026038;3,81E-02;0,7791869;1,19E-02;Vicino all'ER;0,2468511;Homo sapiens;Mitochondria;Mitochondria;"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial"
AK3;Q9UIJ7;1,065312;4,84E-02;0,8085335;1,53E-02;Vicino all'ER;0,2567785;Homo sapiens;Mitochondria;Mitochondria;GTP:AMP phosphotransferase AK3, mitochondrial
AK5;Q9Y6K8;2,09023;1,00E+00;1,839104;1,00E+00;Vicino all'ER;0,251126;Homo sapiens;;Cytoplasm;Adenylate kinase isoenzyme 5
AK6;Q9Y3D8;2,116209;1,00E+00;1,870638;1,00E+00;Vicino all'ER;0,245571;Homo sapiens;;Cytoplasm;Adenylate kinase isoenzyme 6
AKAP10;"E7EMD6;O43572";2,260863;1,00E+00;2,03252;1,00E+00;Vicino all'ER;0,228343;Homo sapiens;Cytoplasm;protein-complex;"A-kinase anchoring protein 10;A-kinase anchor protein 10, mitochondrial"
AKAP11;Q9UKA4;2,126926;1,00E+00;1,894609;1,00E+00;Vicino all'ER;0,232317;Homo sapiens;Cytoplasm;protein-complex;A-kinase anchor protein 11
AKAP12;Q02952;1,861402;1,00E+00;1,638924;1,00E+00;Vicino all'ER;0,222478;Homo sapiens;Cytoplasm;Cytoplasm;A-kinase anchor protein 12
AKAP13;Q12802;1,216509;1,15E-01;1,174129;1,99E-01;Vicino all'ER;0,04238;Homo sapiens;;Translation;A-kinase anchor protein 13
AKAP17A;Q02040;1,242796;1,34E-01;0,9945093;6,61E-02;Vicino all'ER;0,2482867;Homo sapiens;;Mitochondria;A-kinase anchor protein 17A
AKAP8;"A0A7P0T893;O43823";0,6251038;1,98E-03;0,602595;2,32E-03;Vicino all'ER;0,0225088;Homo sapiens;;Nucleus;"A-kinase anchoring protein 8;A-kinase anchor protein 8"
AKAP8L;"A0A7P0TAE3;Q9ULX6";1,370347;2,58E-01;1,261492;3,17E-01;Vicino all'ER;0,108855;Homo sapiens;;Nucleus;"A-kinase anchoring protein 8 like;A-kinase anchor protein 8-like"
AKAP9;"A0A7P0T928;A0A7P0TBH8;Q99996";1,917965;1,00E+00;1,744299;1,00E+00;Vicino all'ER;0,173666;Homo sapiens;protein-complex;protein-complex;"A-kinase anchoring protein 9;A-kinase anchoring protein 9;A-kinase anchor protein 9"
AKR1A1;P14550;2,103183;1,00E+00;1,856112;1,00E+00;Vicino all'ER;0,247071;Homo sapiens;Cytoplasm;Cytoplasm;Aldo-keto reductase family 1 member A1
AKR1B1;P15121;2,081835;1,00E+00;1,837002;1,00E+00;Vicino all'ER;0,244833;Homo sapiens;Cytoplasm;Cytoplasm;Aldo-keto reductase family 1 member B1
AKR1C1;Q04828;2,068655;1,00E+00;1,826589;1,00E+00;Vicino all'ER;0,242066;Homo sapiens;;Cytoplasm;Aldo-keto reductase family 1 member C1
AKR1C2;P52895;2,183743;1,00E+00;1,940051;1,00E+00;Vicino all'ER;0,243692;Homo sapiens;Cytoplasm;Cytoplasm;Aldo-keto reductase family 1 member C2
AKR7A2;O43488;2,083575;1,00E+00;1,832921;1,00E+00;Vicino all'ER;0,250654;Homo sapiens;Cytoplasm;Cytoplasm;Aflatoxin B1 aldehyde reductase member 2
AKT1;"A0A087WY56;A0A804HJM6;G3V3X1;P31749";1,877113;1,00E+00;1,665536;1,00E+00;Vicino all'ER;0,211577;Homo sapiens;;Cytoplasm;"AKT serine/threonine kinase 1;non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;RAC-alpha serine/threonine-protein kinase"
AKT1S1;Q96B36;2,085559;1,00E+00;1,840785;1,00E+00;Vicino all'ER;0,244774;Homo sapiens;protein-complex;Cytoplasm;Proline-rich AKT1 substrate 1
AKT2;P31751;2,014223;1,00E+00;1,779876;1,00E+00;Vicino all'ER;0,234347;Homo sapiens;Cytoplasm;Cytoplasm;RAC-beta serine/threonine-protein kinase
AKT3;"A0A5K1VW74;Q9Y243";1,227456;1,22E-01;1,137147;1,64E-01;Vicino all'ER;0,090309;Homo sapiens;;Nucleus;"non-specific serine/threonine protein kinase;RAC-gamma serine/threonine-protein kinase"
AKTIP;Q9H8T0;2,12044;1,00E+00;1,90072;1,00E+00;Vicino all'ER;0,21972;Homo sapiens;;Translation;AKT-interacting protein
ALAD;P13716;2,021173;1,00E+00;1,766276;1,00E+00;Vicino all'ER;0,254897;Homo sapiens;protein-complex;Cytoplasm;Delta-aminolevulinic acid dehydratase
ALB;P02768;1,896768;1,00E+00;1,698234;1,00E+00;Vicino all'ER;0,198534;Homo sapiens;;Cytoplasm;Albumin
ALCAM;Q13740;1,001162;3,27E-02;0,9731337;5,68E-02;Vicino all'ER;0,0280283;Homo sapiens;;PM;CD166 antigen
ALDH16A1;Q8IZ83;1,886456;1,00E+00;1,714514;1,00E+00;Vicino all'ER;0,171942;Homo sapiens;;protein-complex;Aldehyde dehydrogenase family 16 member A1
ALDH18A1;P54886;0,7511201;5,46E-03;0,5661115;1,52E-03;Vicino all'ER;0,1850086;Homo sapiens;Mitochondria;Mitochondria;Delta-1-pyrroline-5-carboxylate synthase
ALDH1A3;P47895;1,22654;1,22E-01;0,9673945;5,46E-02;Vicino all'ER;0,2591455;Homo sapiens;;Mitochondria;Retinaldehyde dehydrogenase 3
ALDH1B1;P30837;1,133109;7,16E-02;0,878734;2,75E-02;Vicino all'ER;0,254375;Homo sapiens;Mitochondria;Mitochondria;Aldehyde dehydrogenase X, mitochondrial
ALDH1L1;O75891;1,289696;1,73E-01;1,02034;7,94E-02;Vicino all'ER;0,269356;Homo sapiens;Cytoplasm;Mitochondria;Cytosolic 10-formyltetrahydrofolate dehydrogenase
ALDH1L2;"A0A494C1M4;Q3SY69";0,6730409;2,92E-03;0,5314794;1,05E-03;Vicino all'ER;0,1415615;Homo sapiens;;Mitochondria;"10-formyltetrahydrofolate dehydrogenase;Mitochondrial 10-formyltetrahydrofolate dehydrogenase"
ALDH2;P05091;0,7201761;4,27E-03;0,562526;1,49E-03;Vicino all'ER;0,1576501;Homo sapiens;Mitochondria;Mitochondria;Aldehyde dehydrogenase, mitochondrial
ALDH3A2;"A0A5F9ZHI5;A0A5F9ZHN9;A0A5F9ZI12;J3QRD1;P51648";0,4889432;2,22E-04;0,4248113;2,55E-04;Vicino all'ER;0,0641319;Homo sapiens;ER;ER;"Aldehyde dehydrogenase;Aldehyde dehydrogenase;Aldehyde dehydrogenase family 3 member A2 (Fragment);Aldehyde dehydrogenase family 3 member A2;Aldehyde dehydrogenase family 3 member A2"
ALDH3B1;P43353;1,494657;4,42E-01;1,310163;3,94E-01;Vicino all'ER;0,184494;Homo sapiens;;Golgi apparatus;Aldehyde dehydrogenase family 3 member B1
ALDH4A1;P30038;1,002332;3,32E-02;0,8425882;2,04E-02;Vicino all'ER;0,1597438;Homo sapiens;Mitochondria;Mitochondria;Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
ALDH6A1;Q02252;0,9277247;1,93E-02;0,7834659;1,22E-02;Vicino all'ER;0,1442588;Homo sapiens;Mitochondria;Mitochondria;Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial
ALDH7A1;"A0A1B0GTG2;A0A1B0GW77;P49419";1,422794;3,28E-01;1,196069;2,26E-01;Vicino all'ER;0,226725;Homo sapiens;Mitochondria;Mitochondria;"Aldehyde dehydrogenase 7 family member A1;aldehyde dehydrogenase (NAD(+));Alpha-aminoadipic semialdehyde dehydrogenase"
ALDH9A1;P49189;1,912152;1,00E+00;1,665257;1,00E+00;Vicino all'ER;0,246895;Homo sapiens;Cytoplasm;Cytoplasm;4-trimethylaminobutyraldehyde dehydrogenase
ALDOA;H3BPS8;1,59956;6,40E-01;1,491021;7,52E-01;Vicino all'ER;0,108539;Homo sapiens;Cytoplasm;Cytoplasm;Fructose-bisphosphate aldolase A (Fragment)
ALDOA;P04075;2,054297;1,00E+00;1,818485;1,00E+00;Vicino all'ER;0,235812;Homo sapiens;Cytoplasm;Cytoplasm;Fructose-bisphosphate aldolase A
ALDOC;P09972;1,946805;1,00E+00;1,71883;1,00E+00;Vicino all'ER;0,227975;Homo sapiens;;Cytoplasm;Fructose-bisphosphate aldolase C
ALG1;"A0A804HJQ1;A0A804HKU4;Q9BT22";0,5966576;1,48E-03;0,7214277;7,60E-03;Vicino al REPLICOMA;0,1247701;Homo sapiens;ER;ER;"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase;ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase;Chitobiosyldiphosphodolichol beta-mannosyltransferase"
ALG11;"A0A3B3IS90;A0A7P0T8Y4;Q2TAA5";0,7634643;6,12E-03;0,4832665;4,60E-04;Vicino all'ER;0,2801978;Homo sapiens;ER;ER;"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase;GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase;GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"
ALG2;Q9H553;0,3624743;0,00E+00;0,2903647;0,00E+00;Vicino all'ER;0,0721096;Homo sapiens;ER;ER;Alpha-1,3/1,6-mannosyltransferase ALG2
ALG3;"F8WE30;F8WF93;H7BZZ2;H7C0X4;Q92685";1,247437;1,37E-01;1,187449;2,17E-01;Vicino all'ER;0,059988;Homo sapiens;ER;ER;"ALG3 alpha-1,3- mannosyltransferase;ALG3 alpha-1,3- mannosyltransferase;ALG3 alpha-1,3- mannosyltransferase (Fragment);Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (Fragment);Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase"
ALG5;"A0A7P0T901;Q9Y673";0,424491;2,54E-05;0,2089173;0,00E+00;Vicino all'ER;0,2155737;Homo sapiens;;ER;"dolichyl-phosphate beta-glucosyltransferase;Dolichyl-phosphate beta-glucosyltransferase"
ALG9;"A0A087WZ62;Q9H6U8";1,235173;1,28E-01;1,024048;8,16E-02;Vicino all'ER;0,211125;Homo sapiens;ER;ER;"Mannosyltransferase;Alpha-1,2-mannosyltransferase ALG9"
ALKBH4;Q9NXW9;1,924678;1,00E+00;1,672394;1,00E+00;Vicino all'ER;0,252284;Homo sapiens;;Cytoplasm;Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4
ALKBH5;Q6P6C2;1,079026;5,30E-02;0,9825636;6,10E-02;Vicino all'ER;0,0964624;Homo sapiens;;Nucleus;RNA demethylase ALKBH5
ALPL;P05186;1,850003;1,00E+00;1,656459;1,00E+00;Vicino all'ER;0,193544;Homo sapiens;PM;PM;Alkaline phosphatase, tissue-nonspecific isozyme
ALYREF;Q86V81;0,8332587;9,82E-03;0,7993292;1,41E-02;Vicino all'ER;0,0339295;Homo sapiens;Nucleus;Nucleus;THO complex subunit 4
ALYREF;E9PB61;1,882387;1,00E+00;1,625146;1,00E+00;Vicino all'ER;0,257241;Homo sapiens;Nucleus;protein-complex;Aly/REF export factor
AMDHD2;Q9Y303;2,226316;1,00E+00;1,983187;1,00E+00;Vicino all'ER;0,243129;Homo sapiens;;Cytoplasm;N-acetylglucosamine-6-phosphate deacetylase
AMFR;Q9UKV5;1,271935;1,57E-01;1,207291;2,39E-01;Vicino all'ER;0,064644;Homo sapiens;ER;Nucleus;E3 ubiquitin-protein ligase AMFR
AMOTL1;Q8IY63;0,8919038;1,48E-02;0,9040151;3,30E-02;Vicino al REPLICOMA;0,0121113;Homo sapiens;;PM;Angiomotin-like protein 1
AMOTL2;Q9Y2J4;2,351789;1,00E+00;2,110806;1,00E+00;Vicino all'ER;0,240983;Homo sapiens;;Cytoplasm;Angiomotin-like protein 2
AMPD2;"H0Y360;Q01433";2,200438;1,00E+00;1,964757;1,00E+00;Vicino all'ER;0,235681;Homo sapiens;protein-complex;Cytoplasm;"AMP deaminase;AMP deaminase 2"
AMPD2;E9PJF6;2,328346;1,00E+00;2,095168;1,00E+00;Vicino all'ER;0,233178;Homo sapiens;protein-complex;protein-complex;AMP deaminase 2 (Fragment)
AMPD3;Q01432;2,124476;1,00E+00;1,870072;1,00E+00;Vicino all'ER;0,254404;Homo sapiens;;Cytoplasm;AMP deaminase 3
AMPH;P49418;1,962427;1,00E+00;1,753653;1,00E+00;Vicino all'ER;0,208774;Homo sapiens;Cytoplasm;Cytoplasm;Amphiphysin
ANAPC1;Q9H1A4;1,77697;9,57E-01;1,572712;9,05E-01;Vicino all'ER;0,204258;Homo sapiens;;Translation;Anaphase-promoting complex subunit 1
ANAPC15;"F5GXB9;F5H2T3;F5H3R3;F5H6E4;F8WDQ6;G5EA39;P60006";2,071291;1,00E+00;1,842042;1,00E+00;Vicino all'ER;0,229249;Homo sapiens;;Translation;"Anaphase promoting complex subunit 15 (Fragment);Anaphase promoting complex subunit 15 (Fragment);Anaphase promoting complex subunit 15;Anaphase promoting complex subunit 15 (Fragment);Anaphase promoting complex subunit 15 (Fragment);Anaphase promoting complex subunit 15;Anaphase-promoting complex subunit 15"
ANAPC16;Q96DE5;2,229225;1,00E+00;2,01285;1,00E+00;Vicino all'ER;0,216375;Homo sapiens;;Translation;Anaphase-promoting complex subunit 16
ANAPC2;Q9UJX6;1,998257;1,00E+00;1,73938;1,00E+00;Vicino all'ER;0,258877;Homo sapiens;;Translation;Anaphase-promoting complex subunit 2
ANAPC4;Q9UJX5;2,047093;1,00E+00;1,82349;1,00E+00;Vicino all'ER;0,223603;Homo sapiens;;Translation;Anaphase-promoting complex subunit 4
ANAPC5;"F5H0F9;Q9UJX4";1,979217;1,00E+00;1,718198;1,00E+00;Vicino all'ER;0,261019;Homo sapiens;;Nucleus;Anaphase-promoting complex subunit 5
ANAPC7;Q9UJX3;1,955437;1,00E+00;1,735425;1,00E+00;Vicino all'ER;0,220012;Homo sapiens;;Translation;Anaphase-promoting complex subunit 7
ANGEL2;Q5VTE6;1,164044;8,63E-02;0,9279221;4,02E-02;Vicino all'ER;0,2361219;Homo sapiens;;Mitochondria;Protein angel homolog 2
ANK2;"A0A5F9ZGS7;A0A5F9ZGX3;A0A5F9ZGY1;A0A5F9ZGZ1;A0A5F9ZH39;A0A5F9ZHD2;A0A5F9ZHJ6;A0A5F9ZHQ5;A0A5F9ZHS1;A0A5F9ZI15;A0A5F9ZI56;A0A5F9ZI81;A0A994J7V8;E9PHW9;H0Y933;Q01484";0,762196;6,06E-03;0,5820886;1,81E-03;Vicino all'ER;0,1801074;Homo sapiens;;Mitochondria;"Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2;Ankyrin 2 (Fragment);Ankyrin 2;Ankyrin-2"
ANKFY1;Q9P2R3;1,801572;1,00E+00;1,599332;9,59E-01;Vicino all'ER;0,20224;Homo sapiens;;Cytoplasm;Rabankyrin-5
ANKHD1;Q8IWZ3;1,94448;1,00E+00;1,738948;1,00E+00;Vicino all'ER;0,205532;Homo sapiens;;Translation;Ankyrin repeat and KH domain-containing protein 1
ANKIB1;Q9P2G1;1,14897;7,83E-02;1,107089;1,38E-01;Vicino all'ER;0,041881;Homo sapiens;Cytoplasm;Golgi apparatus;Ankyrin repeat and IBR domain-containing protein 1
ANKLE2;Q86XL3;0,5097247;3,64E-04;0,2442353;0,00E+00;Vicino all'ER;0,2654894;Homo sapiens;ER;ER;Ankyrin repeat and LEM domain-containing protein 2
ANKMY2;Q8IV38;2,178575;1,00E+00;1,931663;1,00E+00;Vicino all'ER;0,246912;Homo sapiens;Cytoplasm;Cytoplasm;Ankyrin repeat and MYND domain-containing protein 2
ANKRD13A;Q8IZ07;2,029871;1,00E+00;1,789542;1,00E+00;Vicino all'ER;0,240329;Homo sapiens;;Cytoplasm;Ankyrin repeat domain-containing protein 13A
ANKRD17;O75179;1,865811;1,00E+00;1,653931;1,00E+00;Vicino all'ER;0,21188;Homo sapiens;;Translation;Ankyrin repeat domain-containing protein 17
ANKRD28;O15084;2,316426;1,00E+00;2,079964;1,00E+00;Vicino all'ER;0,236462;Homo sapiens;protein-complex;protein-complex;Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
ANKRD40;Q6AI12;2,176636;1,00E+00;1,93632;1,00E+00;Vicino all'ER;0,240316;Homo sapiens;;Cytoplasm;Ankyrin repeat domain-containing protein 40
ANKRD44;Q8N8A2;2,312835;1,00E+00;2,065819;1,00E+00;Vicino all'ER;0,247016;Homo sapiens;;Cytoplasm;Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
ANKRD52;Q8NB46;2,281232;1,00E+00;2,039519;1,00E+00;Vicino all'ER;0,241713;Homo sapiens;;Cytoplasm;Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C
ANKZF1;Q9H8Y5;2,235814;1,00E+00;2,021914;1,00E+00;Vicino all'ER;0,2139;Homo sapiens;;Translation;tRNA endonuclease ANKZF1
ANO10;Q9NW15;0,2802072;0,00E+00;0,2263058;0,00E+00;Vicino all'ER;0,0539014;Homo sapiens;ER;ER;Anoctamin-10
ANO4;"A0A2R8Y532;Q32M45";1,365492;2,52E-01;1,14762;1,73E-01;Vicino all'ER;0,217872;Homo sapiens;;ER;"Anoctamin;Anoctamin-4"
ANO6;"A0A7P0TBC5;Q4KMQ2";1,293608;1,75E-01;1,184662;2,12E-01;Vicino all'ER;0,108946;Homo sapiens;;PM;"Anoctamin;Anoctamin-6"
ANP32A;"H0YN26;P39687";1,989325;1,00E+00;1,758065;1,00E+00;Vicino all'ER;0,23126;Homo sapiens;;Cytoplasm;"Acidic leucine-rich nuclear phosphoprotein 32 family member;Acidic leucine-rich nuclear phosphoprotein 32 family member A"
ANP32B;Q92688;2,079756;1,00E+00;1,840787;1,00E+00;Vicino all'ER;0,238969;Homo sapiens;;Cytoplasm;Acidic leucine-rich nuclear phosphoprotein 32 family member B
ANP32E;Q9BTT0;2,020089;1,00E+00;1,787911;1,00E+00;Vicino all'ER;0,232178;Homo sapiens;;Cytoplasm;Acidic leucine-rich nuclear phosphoprotein 32 family member E
ANPEP;P15144;1,11709;6,58E-02;0,9786654;5,94E-02;Vicino all'ER;0,1384246;Homo sapiens;PM;PM;Aminopeptidase N
ANTXR1;Q9H6X2;1,192703;1,01E-01;1,02125;7,99E-02;Vicino all'ER;0,171453;Homo sapiens;;Golgi apparatus;Anthrax toxin receptor 1
ANTXR2;A0A7P0Z4A8;1,846832;1,00E+00;1,593833;9,50E-01;Vicino all'ER;0,252999;Homo sapiens;;Cytoplasm;Anthrax toxin receptor
ANXA1;P04083;2,06189;1,00E+00;1,814497;1,00E+00;Vicino all'ER;0,247393;Homo sapiens;Cytoplasm;Cytoplasm;Annexin A1
ANXA11;P50995;2,050919;1,00E+00;1,797894;1,00E+00;Vicino all'ER;0,253025;Homo sapiens;;Cytoplasm;Annexin A11
ANXA2;P07355;1,980396;1,00E+00;1,743554;1,00E+00;Vicino all'ER;0,236842;Homo sapiens;;Cytoplasm;Annexin A2
ANXA2P2;A6NMY6;1,649894;7,34E-01;1,536981;8,39E-01;Vicino all'ER;0,112913;Homo sapiens;;Cytoplasm;Putative annexin A2-like protein
ANXA3;P12429;2,11413;1,00E+00;1,868225;1,00E+00;Vicino all'ER;0,245905;Homo sapiens;;Cytoplasm;Annexin A3
ANXA4;P09525;2,063459;1,00E+00;1,813698;1,00E+00;Vicino all'ER;0,249761;Homo sapiens;Cytoplasm;Cytoplasm;Annexin A4
ANXA5;P08758;2,091325;1,00E+00;1,84063;1,00E+00;Vicino all'ER;0,250695;Homo sapiens;;Cytoplasm;Annexin A5
